Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					file_version		str	0..1	A string representing a version. (Some systems may use checksum, a RFC3339 timestamp, or an incrementing version number.).	https://w3id.org/fga-wg/schema/file/file_version
					checksums		Checksum	1..*	A list of checksums of the data file. At least one checksum must be provided. For blobs, the checksum is computed over the bytes in the blob.	https://w3id.org/fga-wg/schema/file/checksums
FileCollection		FileCollection	"A collection of files, according to some selection criteria. In the context of the ""FAIRification of Genomic Annotations"" data model, we are mainly interested in ""GenomicAnnotationFile"" entities, but other types of files can also be contained in a collection, e.g. raw data files such as FASTQ files."							
					filecollection_external_id		Curie	0..1	External, globally unique identifier for the file collection (in most cases, this will not exist).	https://w3id.org/fga-wg/schema/file-collection/filecollection_external_id
				I	filecollection_id		Curie	1..1	Internal identifier for the file collection (unique within the metadata deposit). 	https://w3id.org/fga-wg/schema/file-collection/filecollection_id
					filecollection_label		str	1..1	A human-readable description of the file collection, short enough to be used for listings within software user interfaces, tables, illustration legends, etc.	https://w3id.org/fga-wg/schema/file-collection/filecollection_label
					filecollection_description		Any	0..1	Human-readable description of the file collection.	https://w3id.org/fga-wg/schema/file-collection/filecollection_description
					filecollection_input_sources		InputSource	0..*	References to other input sources from which this file collection was derived.	https://w3id.org/fga-wg/schema/file-collection/filecollection_input_sources
					deposit_versioned_ref		Curie	1..1	Reference to versioned id of deposit containing this file collection.	https://w3id.org/fga-wg/schema/file-collection/deposit_versioned_ref
					filecollection_contact		Contact	0..1	Contact point to the creator and/or maintainer of the file collection.	https://w3id.org/fga-wg/schema/file-collection/filecollection_contact
GenomeAssembly		GenomeAssembly	Information about of the exact genome assembly used to generate the annotation file, defining the genomic coordinate system for the sequence features.							
				I	seqcol_digest		Curie	1..1	Top-level sequence collection digest according to the GA4GH refget, Sequence Collections standard (v1.0). This a globally unique identifier for the genome assembly, algorithmically derivable from the genome assembly content. Usage is to uniquely identify the exact genome assembly used and allow detailed comparisons across genome assembly variants (say, variants of the GRCh38 assembly).	https://w3id.org/fga-wg/schema/genome-assembly/seqcol_digest
					seqcol_ordered_coord_system		Curie	1..1	Content-derived digest that uniquely identifies the ordered coordinate system of the genome assembly. (Coordinate systems with the same sequence names and lengths, but where the sequences are ordered differently, will have different ordered digests.). Usage is the ordered coordinate system digest can be used to uniquely generate a chromSizes file, useful in a number of analysis tools. Definition is the ordered coordinate system digest is defined as the level 1 digest of the name_length_pairs attribute of the sequence collection generated from the genome assembly.	https://w3id.org/fga-wg/schema/genome-assembly/seqcol_ordered_coord_system
					seqcol_unordered_coord_system		Curie	1..1	Content-derived digest that uniquely identifies the order-invariant coordinate system of the genome assembly. This digest will be shared across all coordinate systems with the same sequence names and lenghts, regardless of the order of the sequences. Usage is the order-invariant coordinate system digest can be used to uniquely describe the coordinate system of a particular genome browser instance and the annotation files that are compatible with it. Definition is the order-invariant coordinate system digest is defined as the level 1 digest of the sorted_name_length_pairs attribute of the sequence collection generated from the genome assembly.	https://w3id.org/fga-wg/schema/genome-assembly/seqcol_unordered_coord_system
					accessions		str	0..*	Database accession numbers for the genome assembly, if available. Should precisely identify the genome assembly and be omitted if changes have been made to the assembly after retrieval, such as removing the alternate sequences.	https://w3id.org/fga-wg/schema/genome-assembly/accessions
